,0
401,(0.6093952059745789-0.33255478739738464j)
402,(0.6065365076065063-0.32902297377586365j)
403,(0.6047878265380859-0.3337087333202362j)
404,(0.6093946099281311-0.3276568055152893j)
405,(0.6103374361991882-0.3312811851501465j)
406,(0.606501579284668-0.33430710434913635j)
407,(0.6096553802490234-0.3336784839630127j)
408,(0.6066286563873291-0.32940274477005005j)
409,(0.6104567646980286-0.3330070376396179j)
410,(0.611611008644104-0.3289955258369446j)
411,(0.6071112155914307-0.3301386535167694j)
412,(0.6096929907798767-0.3301151990890503j)
413,(0.6091322898864746-0.32378441095352173j)
414,(0.609271764755249-0.3280757665634155j)
415,(0.6072226166725159-0.32761451601982117j)
416,(0.6074063181877136-0.32703152298927307j)
417,(0.6092100143432617-0.3266119360923767j)
418,(0.6111998558044434-0.3260408341884613j)
419,(0.6130090355873108-0.3251107335090637j)
420,(0.6093522906303406-0.32571765780448914j)
421,(0.6078084707260132-0.32957619428634644j)
422,(0.6099485754966736-0.32451263070106506j)
423,(0.6096479296684265-0.32523113489151j)
424,(0.6091829538345337-0.3248462677001953j)
425,(0.6089919805526733-0.32503262162208557j)
426,(0.610027015209198-0.32599812746047974j)
427,(0.6083722710609436-0.32389843463897705j)
428,(0.6092838644981384-0.3212214708328247j)
429,(0.6110596060752869-0.32439517974853516j)
430,(0.611295223236084-0.3240312337875366j)
431,(0.6120852828025818-0.3247471749782562j)
432,(0.6086790561676025-0.32686325907707214j)
433,(0.6098266839981079-0.31918880343437195j)
434,(0.6100111603736877-0.3236563205718994j)
435,(0.609525203704834-0.3247078061103821j)
436,(0.6098055243492126-0.323828786611557j)
437,(0.6101248264312744-0.31982311606407166j)
438,(0.6156010627746582-0.3193293809890747j)
439,(0.6086457371711731-0.3215370178222656j)
440,(0.610120415687561-0.32267552614212036j)
441,(0.6144210696220398-0.31691989302635193j)
442,(0.6116247177124023-0.3158320188522339j)
443,(0.6091378331184387-0.32264235615730286j)
444,(0.6139543652534485-0.3174990713596344j)
445,(0.6134220957756042-0.321841835975647j)
446,(0.6117089986801147-0.3205626606941223j)
447,(0.6150292158126831-0.32041022181510925j)
448,(0.6128054857254028-0.3193317651748657j)
449,(0.6139202117919922-0.3215456008911133j)
450,(0.6136483550071716-0.3208447992801666j)
451,(0.6171385645866394-0.31969934701919556j)
452,(0.6141950488090515-0.3235180079936981j)
453,(0.6130483746528625-0.32049158215522766j)
454,(0.6146900057792664-0.31674978137016296j)
455,(0.6116812229156494-0.31766477227211j)
456,(0.6159010529518127-0.31890010833740234j)
457,(0.6189336776733398-0.3180205821990967j)
458,(0.6136278510093689-0.3205060660839081j)
459,(0.6162122488021851-0.31864476203918457j)
460,(0.6133986711502075-0.3198324143886566j)
461,(0.6187211871147156-0.31773996353149414j)
462,(0.6147199869155884-0.3165821135044098j)
463,(0.6140552163124084-0.3191377818584442j)
464,(0.6192306876182556-0.3184749484062195j)
465,(0.6175045371055603-0.31624507904052734j)
466,(0.6153395771980286-0.31803056597709656j)
467,(0.6165217757225037-0.31843072175979614j)
468,(0.6159379482269287-0.3184438943862915j)
469,(0.6166270971298218-0.31351861357688904j)
470,(0.6201664209365845-0.3165384531021118j)
471,(0.6167606711387634-0.31542879343032837j)
472,(0.6222913265228271-0.3142385184764862j)
473,(0.618403434753418-0.316503643989563j)
474,(0.6193184852600098-0.3172660171985626j)
475,(0.6228412985801697-0.3173178434371948j)
476,(0.6192985773086548-0.31655511260032654j)
477,(0.6167470216751099-0.31535604596138j)
478,(0.6188090443611145-0.31062501668930054j)
479,(0.6205588579177856-0.315562903881073j)
480,(0.6205736398696899-0.31570690870285034j)
481,(0.6206341981887817-0.31641367077827454j)
482,(0.6219545006752014-0.3123718500137329j)
483,(0.620756983757019-0.3144262135028839j)
484,(0.6223459243774414-0.31781017780303955j)
485,(0.6210509538650513-0.3164392113685608j)
486,(0.6247166395187378-0.3149104118347168j)
487,(0.6240271925926208-0.3148673474788666j)
488,(0.6225625872612-0.3123050332069397j)
489,(0.6204497218132019-0.31423211097717285j)
490,(0.6233905553817749-0.31051576137542725j)
491,(0.6250041723251343-0.3143235743045807j)
492,(0.6241059303283691-0.31622448563575745j)
493,(0.6258478760719299-0.3126775920391083j)
494,(0.6237074136734009-0.31489384174346924j)
495,(0.624845564365387-0.3108779788017273j)
496,(0.625544548034668-0.3128443956375122j)
497,(0.6230695247650146-0.31239429116249084j)
498,(0.624471127986908-0.3113346993923187j)
499,(0.6247119307518005-0.31290578842163086j)
500,(0.6269753575325012-0.3115996718406677j)
